ID;RECEITA;CATEGORIA;STATUS;FONTE_ORIGINAL;TIPO_DE_IMAGEM
REC-0028;Pastel;Salgados e Massas;publicada;images/manuscritos/31.jpeg;ilustrativa_externa
REC-0029;Bolacha de Nata — Variante 1;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7085.jpeg;ilustrativa_externa
REC-0030;Bolinho de Queijo;Salgados e Massas;publicada;images/manuscritos/IMG_7086.jpeg;ilustrativa_externa
REC-0031;Bolacha de 02/02/2025;Biscoitos e Bolachas;em_revisao;images/manuscritos/IMG_7087.jpeg;ilustrativa_externa
REC-0032;Pudim — Receita Impressa;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7088.jpeg;ilustrativa_externa
REC-0033;Bolo Tradicional de Aniversário;Bolos e Tortas;publicada;images/manuscritos/IMG_7141.jpeg;ilustrativa_externa
REC-0034;Creme de Ameixa;Doces e Sobremesas;publicada;images/manuscritos/IMG_7090.jpeg;ilustrativa_externa
REC-0035;Quibe — Variante 1;Salgados e Massas;publicada;images/manuscritos/IMG_7091.jpeg;ilustrativa_externa
REC-0036;Bolo de Pique-Nique;Bolos e Tortas;publicada;images/manuscritos/IMG_7093.jpeg;ilustrativa_externa
REC-0037;Doce de Abóbora;Doces e Sobremesas;publicada;images/manuscritos/IMG_7094.jpeg;ilustrativa_externa
REC-0038;Bolacha de Nata — Variante 2;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7095.jpeg;ilustrativa_externa
REC-0039;Mousse de Leite Ninho com Gelatina;Doces e Sobremesas;publicada;images/manuscritos/IMG_7096.jpeg;ilustrativa_externa
REC-0040;Danone;Doces e Sobremesas;publicada;images/manuscritos/IMG_7097.jpeg;ilustrativa_externa
REC-0041;Bolo de Chocolate — Variante 1;Bolos e Tortas;publicada;images/manuscritos/IMG_7098.jpeg;ilustrativa_externa
REC-0042;Pão Caseiro — Variante 2;Pães e Roscas;publicada;images/manuscritos/IMG_7099.jpeg;ilustrativa_externa
REC-0043;Brigadeiro de Paçoca;Doces e Sobremesas;publicada;images/manuscritos/IMG_7100.jpeg;ilustrativa_externa
REC-0044;Pizza Enrolada — Variante 1;Salgados e Massas;publicada;images/manuscritos/IMG_7101.jpeg;ilustrativa_externa
REC-0045;Molho de Pimenta;Molhos e Cremes;publicada;images/manuscritos/IMG_7102.jpeg;ilustrativa_externa
REC-0046;Bolacha Palito;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7103.jpeg;ilustrativa_externa
REC-0047;Pudim Gostoso;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7104.jpeg;ilustrativa_externa
REC-0048;Pão Doce;Pães e Roscas;publicada;images/manuscritos/IMG_7105.jpeg;ilustrativa_externa
REC-0049;Bolo de Laranja — Variante 1;Bolos e Tortas;publicada;images/manuscritos/IMG_7106.jpeg;ilustrativa_externa
REC-0050;Brigadeiro de Alma Branca;Doces e Sobremesas;publicada;images/manuscritos/IMG_7108.jpeg;ilustrativa_externa
REC-0051;Pudim de Maria Mole — Variante 1;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7109.jpeg;ilustrativa_externa
REC-0052;Bolo de Cenoura — Variante 2;Bolos e Tortas;publicada;images/manuscritos/IMG_7109.jpeg;ilustrativa_externa
REC-0053;Beijinho;Doces e Sobremesas;publicada;images/manuscritos/IMG_7110.jpeg;ilustrativa_externa
REC-0054;Bolo Brigadeiro;Bolos e Tortas;publicada;images/multipagina/Bolo Brigadeiro/Pagina_01_IMG_7112.jpeg | images/multipagina/Bolo Brigadeiro/Pagina_02_IMG_7111.jpeg;ilustrativa_externa
REC-0055;Cocadinha;Doces e Sobremesas;publicada;images/manuscritos/IMG_7114.jpeg;ilustrativa_externa
REC-0056;Biscoito Amanteigado;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7115.jpeg;ilustrativa_externa
REC-0057;Cobertura para Bolo — Variante 1;Recheios e Coberturas;publicada;images/manuscritos/IMG_7116.jpeg;ilustrativa_externa
REC-0058;Gelatina (02/02/2023);Doces e Sobremesas;publicada;images/manuscritos/IMG_7117.jpeg;ilustrativa_externa
REC-0059;Creme Branco para Frutas;Doces e Sobremesas;publicada;images/manuscritos/IMG_7118.jpeg;ilustrativa_externa
REC-0060;Massa Pão de Ló — Variante 1;Pães e Roscas;publicada;images/manuscritos/IMG_7118.jpeg;ilustrativa_externa
REC-0061;Cobertura para Bolo — Variante 2;Recheios e Coberturas;publicada;images/manuscritos/IMG_7119.jpeg;ilustrativa_externa
REC-0062;Bolo de Fubá Cremoso;Bolos e Tortas;publicada;images/manuscritos/IMG_7120.jpeg;ilustrativa_externa
REC-0063;Biliscão;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7121.jpeg;ilustrativa_externa
REC-0064;Pudim de Leite em Pó — Variante 1;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7123.jpeg;ilustrativa_externa
REC-0065;Pudim de Leite Condensado;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7123.jpeg;ilustrativa_externa
REC-0066;Creme Firme para Bolo;Recheios e Coberturas;publicada;images/manuscritos/IMG_7125.jpeg;ilustrativa_externa
REC-0067;Recheio Creme 4 Leites;Recheios e Coberturas;publicada;images/manuscritos/IMG_7125.jpeg;ilustrativa_externa
REC-0068;Glacê de Leite Condensado;Recheios e Coberturas;publicada;images/manuscritos/IMG_7127.jpeg;foto_propria
REC-0069;Cajuzinho;Doces e Sobremesas;publicada;images/manuscritos/IMG_7128.jpeg;ilustrativa_externa
REC-0070;Chantilly com Chocolate Branco;Recheios e Coberturas;publicada;images/manuscritos/IMG_7129.jpeg;ilustrativa_externa
REC-0071;Brigadeiro de Leite;Doces e Sobremesas;publicada;images/manuscritos/IMG_7130.jpeg;ilustrativa_externa
REC-0072;Quibe — Variante 2;Salgados e Massas;publicada;images/manuscritos/IMG_7131.jpeg;ilustrativa_externa
REC-0073;Creme de Milho;Molhos e Cremes;publicada;images/manuscritos/IMG_7132.jpeg;ilustrativa_externa
REC-0074;Bolo de Chocolate — Variante 2;Bolos e Tortas;publicada;images/manuscritos/IMG_7133.jpeg;ilustrativa_externa
REC-0075;Bolacha de Nata com Sal Amoníaco;Biscoitos e Bolachas;publicada;images/manuscritos/IMG_7134.jpeg;ilustrativa_externa
REC-0076;Bolo de Coco Baiano;Bolos e Tortas;publicada;images/manuscritos/IMG_7135.jpeg;ilustrativa_externa
REC-0077;Bolo Cortado pela Samantha (Receita Márcia);Bolos e Tortas;publicada;images/manuscritos/IMG_7137.jpeg;ilustrativa_externa
REC-0078;Ganache de Chocolate;Recheios e Coberturas;publicada;images/manuscritos/IMG_7139.jpeg;ilustrativa_externa
REC-0079;Creme de Limão;Doces e Sobremesas;em_revisao;images/manuscritos/IMG_7139.jpeg;ilustrativa_externa
REC-0080;Glacê de Emulsificante;Recheios e Coberturas;publicada;images/manuscritos/IMG_7139.jpeg;ilustrativa_externa
REC-0081;Pé de Moleque — Variante 1;Doces e Sobremesas;publicada;images/manuscritos/IMG_7140.jpeg;ilustrativa_externa
REC-0082;Rosca Doce;Pães e Roscas;publicada;images/manuscritos/IMG_7142.jpeg;ilustrativa_externa
REC-0083;Bananinha (Receita da Graça);Doces e Sobremesas;publicada;images/manuscritos/IMG_7143.jpeg;ilustrativa_externa
REC-0084;Rosca Espiral (Fatias Húngaras) — Variante 1;Pães e Roscas;publicada;images/manuscritos/IMG_7144.jpeg;ilustrativa_externa
REC-0085;Bolo de Chocolate — Variante 3;Bolos e Tortas;publicada;images/manuscritos/IMG_7145.jpeg;ilustrativa_externa
REC-0086;Leite Condensado Caseiro;Doces e Sobremesas;publicada;images/manuscritos/IMG_7146.jpeg;ilustrativa_externa
REC-0087;Pudim de Leite em Pó — Variante 2;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7147.jpeg;ilustrativa_externa
REC-0088;Pudim de Pão (Pão Velho) — Variante 1;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7147.jpeg;ilustrativa_externa
REC-0089;Pudim de Maria Mole — Variante 2;Pudins e Doces de Forno;publicada;images/manuscritos/IMG_7148.jpeg;ilustrativa_externa
REC-0090;Bolinhos de Chuva;Doces e Sobremesas;publicada;images/manuscritos/IMG_7149.jpeg;ilustrativa_externa
REC-0091;Brigadeiro;Doces e Sobremesas;publicada;images/manuscritos/IMG_7150.jpeg;ilustrativa_externa
REC-0092;Feijoada Carioca;Pratos Salgados;publicada;images/manuscritos/IMG_7151.jpeg;ilustrativa_externa
REC-0093;Pavê de Pêssego;Bolos e Tortas;publicada;images/manuscritos/IMG_7152.jpeg;ilustrativa_externa
REC-0094;Coxinha;Salgados e Massas;publicada;images/manuscritos/IMG_7153.jpeg;ilustrativa_externa
